gene,log2_fold-change,SE,pvalue,padj
Ncald,0.508764064,0.01447966,1.8712E-270,3.4458E-269
Scamp5,0.508163768,0.0154173,2.9801E-238,4.693E-237
Sept5,0.506886255,0.01840218,5.0935E-167,5.5181E-166
Adar,0.50044223,0.019906002,1.8057E-139,1.6592E-138
Noct,0.498110754,0.016612137,1.5513E-197,1.9934E-196
Ankrd46,0.491983622,0.018960939,1.9546E-148,1.8918E-147
Nsmce2,0.489019736,0.019746717,2.1581E-135,1.9274E-134
Gsk3a,0.488659127,0.017729285,3.1554E-167,3.4286E-166
Spryd3,0.488593899,0.018514196,1.7739E-153,1.7687E-152
Dnajc27,0.487314779,0.017132018,5.6702E-178,6.6209E-177
Slc25a12,0.480076836,0.015447375,4.7444E-212,6.596E-211
Mapt,0.4790962,0.018129933,6.9426E-154,6.9568E-153
Limk2,0.476597063,0.018401626,6.7074E-148,6.4711E-147
Farsb,0.463742983,0.018996702,1.2828E-131,1.1128E-130
Amph,0.455123714,0.014566886,2.7171E-214,3.8155E-213
Atp6v0e2,0.451841543,0.017527902,1.5484E-146,1.4797E-145
Crebl2,0.451616389,0.016837171,1.7622E-158,1.818E-157
Elp3,0.451537505,0.017973824,2.8634E-139,2.6258E-138
Mcfd2,0.445543354,0.018005068,3.4712E-135,3.0956E-134
Gpd1l,0.445474155,0.015189056,4.4766E-189,5.5257E-188
Hectd3,0.445339109,0.016424752,6.7514E-162,7.1023E-161
Sv2a,0.44441955,0.01468621,3.7379E-201,4.9145E-200
Rabl6,0.442424497,0.016058967,4.4258E-167,4.8004E-166
Ywhah,0.441130752,0.017829197,3.7763E-135,3.366E-134
Pcmt1,0.439805447,0.016224208,7.9296E-162,8.3369E-161
Ywhag,0.432562867,0.016138285,2.9398E-158,3.0277E-157
Clcn6,0.432271089,0.017533381,3.3194E-134,2.9286E-133
Rgs7,0.42632096,0.016509624,4.9473E-147,4.7427E-146
Klhdc2,0.426057851,0.014248662,1.8755E-196,2.3998E-195
Ppp2r2b,0.423928395,0.016777982,7.3767E-141,6.8441E-140
Stxbp1,0.421151531,0.016469074,3.1052E-144,2.9319E-143
Ap2m1,0.420176329,0.016062121,7.6934E-151,7.5344E-150
Fbxo25,0.419917961,0.015443297,8.3094E-163,8.7871E-162
Fbxo9,0.402668348,0.014949406,8.4562E-160,8.8089E-159
Mapk1,0.40046347,0.014004271,7.5752E-180,8.9256E-179
Copg1,0.3935985,0.014827601,2.9342E-155,2.9697E-154
Ipo9,0.388808213,0.01439101,9.2221E-161,9.6621E-160
Tspyl1,0.337240673,0.013309571,1.2122E-141,1.1287E-140
Glyr1,0.332807314,0.011967894,3.4385E-170,3.8256E-169
Map3k12,0.327818642,0.012986291,1.3369E-140,1.2379E-139
Stard7,0.323222752,0.012528944,9.317E-147,8.913E-146
Syt11,0.320935899,0.012028492,7.7571E-157,7.9171E-156
Ndrg3,0.299976296,0.010709303,1.1998E-172,1.3581E-171
Tcf25,0.293185516,0.011041268,2.3332E-155,2.364E-154
